message_id,action,message_type,reason,confidence,evidence_message_ids
msg_047,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0152;message_0410
msg_046,digest,personal,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0148;message_0147
msg_042,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0057;message_0240
msg_079,digest,promotion,A member is listing an item for sale in a group that exists for buying and selling.,0.72,message_0214;message_0173
msg_098,digest,unknown,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0054;message_0226
msg_037,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0271;message_0410
msg_007,digest,event,A group admin sent an operational update that the user is likely to need.,0.76,message_0070;message_0069
msg_085,mute,scam,"Sender uses an unverified lookalike domain registered recently, so the message is suppressed as impersonation.",0.87,message_0221
msg_001,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0057;message_0240
msg_021,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0271;message_0410
msg_028,mute,promotion,Image content unavailable; user has explicitly opted out of marketing from this business.,0.60,message_0034;message_0112
msg_012,mute,forward,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0194;message_0193
msg_064,digest,promotion,A member is listing an item for sale in a group that exists for buying and selling.,0.72,message_0087;message_0184
msg_103,digest,personal,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0390;message_0332
msg_031,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0055;message_0249
msg_057,digest,event,A group admin sent an operational update that the user is likely to need.,0.76,message_0371;message_0230
msg_087,mute,promotion,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0391;message_0389
msg_067,digest,event,A group admin sent an operational update that the user is likely to need.,0.76,message_0271;message_0410
msg_039,notify,urgent,A group admin directly mentioned the user with a time-bound request that should interrupt now.,0.86,message_0255;message_0037
msg_082,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0380;message_0218
msg_066,mute,promotion,Image content unavailable; user has explicitly opted out of marketing from this business.,0.60,message_0188;message_0187
msg_049,digest,business_update,Image content unavailable; routed on sender history and business relationship.,0.55,message_0153;message_0291
msg_015,digest,promotion,A member is listing an item for sale in a group that exists for buying and selling.,0.72,message_0214;message_0173
msg_051,mute,spam,The user has opted out of or repeatedly dismissed marketing from this business.,0.85,message_0402;message_0257
msg_097,digest,unknown,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0054;message_0226
msg_089,digest,unknown,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,none
msg_053,mute,forward,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0411;message_0253
msg_059,digest,promotion,A member is listing an item for sale in a group that exists for buying and selling.,0.72,message_0214;message_0173
msg_024,mute,spam,The user has opted out of or repeatedly dismissed marketing from this business.,0.85,message_0402;message_0257
msg_072,mute,scam,"An unreciprocated sender is asking for one-time codes or credentials, which is treated as phishing.",0.84,message_0086;message_0085
msg_036,mute,scam,"Sender uses an unverified lookalike domain registered recently, so the message is suppressed as impersonation.",0.87,message_0128;message_0127
msg_076,mute,scam,"Sender uses an unverified lookalike domain registered recently, so the message is suppressed as impersonation.",0.87,message_0208;message_0207
msg_055,digest,personal,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0387;message_0166
msg_102,notify,urgent,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0371;message_0230
msg_080,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0271;message_0410
msg_093,digest,unknown,"No branch matched with confidence, so the message is deferred rather than interrupted or suppressed.",0.50,none
msg_034,mute,greeting,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0078;message_0077
msg_035,digest,promotion,The message is promotional but comes from a business the user has opted into and previously opened.,0.81,message_0281
msg_101,digest,unknown,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0370;message_0229
msg_041,digest,unknown,"No branch matched with confidence, so the message is deferred rather than interrupted or suppressed.",0.50,none
msg_011,mute,greeting,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0078;message_0077
msg_110,mute,scam,"An unreciprocated sender is asking for one-time codes or credentials, which is treated as phishing.",0.84,message_0381;message_0238
msg_095,mute,scam,The message tries to instruct the router; the decision is based on its actual content and risk.,0.88,message_0087;message_0184
msg_074,mute,forward,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0391;message_0389
msg_073,mute,forward,Low-value forwarded or repetitive content in a group the user has already turned away from.,0.75,message_0087;message_0184
msg_054,digest,promotion,A member is listing an item for sale in a group that exists for buying and selling.,0.72,message_0391;message_0389
msg_068,digest,personal,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0192;message_0191
msg_100,notify,urgent,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0055;message_0249
msg_062,digest,event,A group admin sent an operational update that the user is likely to need.,0.76,message_0271;message_0410
msg_096,digest,unknown,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,none
msg_043,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0271;message_0410
msg_077,digest,event,A group admin sent an operational update that the user is likely to need.,0.76,message_0255;message_0037
msg_081,notify,urgent,A group admin sent an operational update that the user is likely to need.,0.76,message_0217
msg_025,notify,business_update,A verified business is following up on an order or booking the user actually started.,0.83,message_0106;message_0105
msg_084,mute,spam,The user has opted out of or repeatedly dismissed marketing from this business.,0.85,message_0220
msg_022,digest,personal,Ordinary conversation with no urgency or risk signals; shown later rather than interrupting.,0.60,message_0100;message_0099
