request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,611.91 available over the next 90 days, above the USD 1,600 minimum."
request_82,353.93,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum, which it reaches on 14 December 2024."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. Only INR 0 of the INR 156,200 is safe, and none of the available options keeps the INR 37,800 minimum protected within the next 90 days."
request_84,11374.44,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum, which it reaches on 14 April 2026."
request_85,187769.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. Only IDR 187,769.93 of the IDR 19,304,000 is safe, and none of the available options keeps the IDR 6,396,300 minimum protected within the next 90 days."
request_86,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 August 2025. Only INR 0 of the INR 46,300 is safe, and none of the available options keeps the INR 84,900 minimum protected within the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. Only INR 0 of the INR 487,900 is safe, and none of the available options keeps the INR 185,900 minimum protected within the next 90 days."
request_88,10296.24,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This completes the full ZAR 26,092 and keeps the ZAR 25,800 minimum protected."
request_89,8858836.35,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8336|reduce_to:event_8337:266760,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This completes the full IDR 13,756,000 and keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 28,250.55 available over the next 90 days, above the ZAR 7,600 minimum."
request_91,562.68,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum, which it reaches on 14 September 2024."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,518.94 available over the next 90 days, above the ZAR 28,100 minimum."
request_93,1685.45,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-15,stop:event_8690|reduce_to:event_8729:48,"Adjust online backup subscription, lunch with colleagues, then pay USD 1,729.20 today. Without that change the balance would fall to USD 1,856.26 on 14 April 2026 and breach the USD 1,900 minimum."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 1,973.32 available over the next 90 days, above the EUR 600 minimum."
request_95,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. Only INR 0 of the INR 553,000 is safe, and none of the available options keeps the INR 145,500 minimum protected within the next 90 days."
request_96,71956.85,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-03-15,reduce_to:event_8977:1610|reduce_to:event_8980:1610,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This completes the full INR 90,200 and keeps the INR 56,500 minimum protected."
request_97,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 May 2024. Only ZAR 0 of the ZAR 23,496 is safe, and none of the available options keeps the ZAR 29,700 minimum protected within the next 90 days."
request_98,7910.5,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum, which it reaches on 14 August 2025."
request_99,16803.71,affordable_later,wait,2026-07-15:18062,2026-07-15,none,"Pay ZAR 18,062 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 49,100 minimum, which it reaches on 14 July 2026."
request_100,25935.81,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This completes the full ZAR 37,114 and keeps the ZAR 32,500 minimum protected."
request_101,139152.54,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-15,reduce_to:event_9377:2660|stop:event_9378,"Adjust monthly entertainment spend, online backup subscription, then pay INR 143,500 today. Without that change the balance would fall to INR 183,052.54 on 14 November 2025 and breach the INR 187,400 minimum."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This completes the full EUR 1,716 and keeps the EUR 900 minimum protected."
request_103,12800.27,affordable_later,wait,2024-11-15:368300,2024-11-15,none,"Pay INR 368,300 in full on 15 November 2024. Paying earlier would take the balance below the INR 125,500 minimum, which it reaches on 14 September 2024."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 29,350.02 available over the next 90 days, above the ZAR 24,700 minimum."
request_105,44728.56,affordable_later,wait,2026-07-15:53500,2026-07-15,none,"Pay INR 53,500 in full on 15 July 2026. Paying earlier would take the balance below the INR 73,900 minimum, which it reaches on 14 June 2026."
request_106,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. Only EUR 0 of the EUR 2,207.70 is safe, and none of the available options keeps the EUR 1,200 minimum protected within the next 90 days."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. Only EUR 0 of the EUR 2,534.40 is safe, and none of the available options keeps the EUR 1,600 minimum protected within the next 90 days."
request_108,3278.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. Only ZAR 3,278.10 of the ZAR 55,308 is safe, and none of the available options keeps the ZAR 24,100 minimum protected within the next 90 days."
request_109,536.66,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This completes the full EUR 1,863.40 and keeps the EUR 1,700 minimum protected."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This completes the full ZAR 22,352 and keeps the ZAR 11,200 minimum protected."
request_111,15611099,affordable_with_plan,full_payment,2026-04-03:16625000,,reduce_to:event_10302:335350,"Reduce the bakery and snacks, then pay IDR 16,625,000 today. Without that change the balance would fall to IDR 22,008,899 on 2 July 2026 and breach the IDR 23,022,800 minimum."
request_112,190.07,affordable_with_plan,full_payment,2024-06-05:271.70,2024-08-15,reduce_to:event_10396:13|reduce_to:event_10398:13|reduce_to:event_10400:13,"Adjust neighbourhood restaurant, coffee shop, weekend food delivery, then pay EUR 271.70 today. Without that change the balance would fall to EUR 418.37 on 14 August 2024 and breach the EUR 500 minimum."
request_113,23262.51,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum, which it reaches on 14 September 2026."
request_114,57249.12,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300 in full on 15 January 2026. Paying earlier would take the balance below the INR 113,400 minimum, which it reaches on 14 January 2026."
request_115,13749.05,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum, which it reaches on 14 September 2024."
request_116,9418.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. Only INR 9,418.48 of the INR 241,200 is safe, and none of the available options keeps the INR 80,300 minimum protected within the next 90 days."
request_117,862.87,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the family streaming plan, then pay EUR 880 today. Without that change the balance would fall to EUR 982.87 on 14 July 2026 and breach the EUR 1,000 minimum."
request_118,659.47,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This completes the full EUR 738.10 and keeps the EUR 600 minimum protected."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. Only INR 0 of the INR 203,500 is safe, and none of the available options keeps the INR 151,200 minimum protected within the next 90 days."
request_120,7238176.98,affordable_with_plan,full_payment,2026-04-06:7714000,2026-04-15,stop:event_11086,"Stop the video streaming plan, then pay IDR 7,714,000 today. Without that change the balance would fall to IDR 19,574,476.99 on 14 April 2026 and breach the IDR 20,050,300 minimum."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Pay USD 633.60 today. This leaves at least USD 834.24 available over the next 90 days, above the USD 800 minimum."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This completes the full IDR 20,558,000 and keeps the IDR 12,588,500 minimum protected."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 56,273,533.96 available over the next 90 days, above the IDR 18,091,200 minimum."
request_124,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. Only EUR 0 of the EUR 3,104.20 is safe, and none of the available options keeps the EUR 1,600 minimum protected within the next 90 days."
request_125,6188.33,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,stop:event_11519|reduce_to:event_11599:223.30,"Adjust cloud storage plan, weekend food delivery, then pay ZAR 6,468 today. Without that change the balance would fall to ZAR 11,020.33 on 14 November 2025 and breach the ZAR 11,300 minimum."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 187,521.18 available over the next 90 days, above the INR 129,700 minimum."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. Only ZAR 0 of the ZAR 23,980 is safe, and none of the available options keeps the ZAR 41,000 minimum protected within the next 90 days."
request_128,24917.97,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,stop:event_11813,"Stop the cloud storage plan, then pay ZAR 25,168 today. Without that change the balance would fall to ZAR 42,349.98 on 14 February 2025 and breach the ZAR 42,600 minimum."
request_129,58.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. Only USD 58.84 of the USD 2,668.80 is safe, and none of the available options keeps the USD 800 minimum protected within the next 90 days."
request_130,489.78,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Pay USD 1,978.80 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,400 minimum, which it reaches on 14 December 2024."
request_131,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 8 July 2025. Only USD 0 of the USD 1,855.20 is safe, and none of the available options keeps the USD 1,100 minimum protected within the next 90 days."
request_132,275.08,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum, which it reaches on 14 January 2026."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. Only IDR 0 of the IDR 15,770,000 is safe, and none of the available options keeps the IDR 9,986,200 minimum protected within the next 90 days."
request_134,4862213.2,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum, which it reaches on 14 August 2025."
request_135,290.29,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. Without that change the balance would fall to USD 485.49 on 14 July 2026 and breach the USD 500 minimum."
request_136,544.87,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping, then pay USD 560.40 today. Without that change the balance would fall to USD 1,084.48 on 14 June 2024 and breach the USD 1,100 minimum."
request_137,25555.44,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum, which it reaches on 14 November 2025."
request_138,773.21,affordable_with_plan,partial_payment,2026-04-07:773.21|2026-04-15:483.73,2026-04-15,none,"Pay EUR 773.21 today and the remaining EUR 483.73 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1398.26,affordable_later,not_recommended,none,2024-10-15,none,"The full USD 2,316 only becomes safe on 15 October 2024, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_140,2492.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. Only ZAR 2,492.26 of the ZAR 62,832 is safe, and none of the available options keeps the ZAR 21,600 minimum protected within the next 90 days."
request_141,16987.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. Only INR 16,987.69 of the INR 171,600 is safe, and none of the available options keeps the INR 67,300 minimum protected within the next 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 4,595.13 available over the next 90 days, above the USD 1,700 minimum."
request_143,3417.84,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum, which it reaches on 14 May 2025."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Pay USD 233.34 today. This leaves at least USD 632.95 available over the next 90 days, above the USD 600 minimum."
request_145,25368.62,affordable_later,not_recommended,none,2024-05-15,none,"The full INR 217,400 only becomes safe on 15 May 2024, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_146,6403.29,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. Only INR 6,403.29 of the INR 449,400 is safe, and none of the available options keeps the INR 108,600 minimum protected within the next 90 days."
request_147,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 June 2026. Only EUR 0 of the EUR 1,129.70 is safe, and none of the available options keeps the EUR 900 minimum protected within the next 90 days."
request_148,7292.3,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13592,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This completes the full ZAR 22,242 and keeps the ZAR 20,000 minimum protected."
request_149,22215.19,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This completes the full ZAR 36,652 and keeps the ZAR 42,100 minimum protected."
request_150,295.44,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This completes the full EUR 496.10 and keeps the EUR 700 minimum protected."
request_151,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 September 2024. Only IDR 0 of the IDR 26,999,000 is safe, and none of the available options keeps the IDR 31,633,600 minimum protected within the next 90 days."
request_152,10878.38,affordable_later,not_recommended,none,2025-04-15,none,"The full ZAR 13,882 only becomes safe on 15 April 2025, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_153,118.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. Only USD 118.76 of the USD 2,830.80 is safe, and none of the available options keeps the USD 1,400 minimum protected within the next 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This completes the full EUR 1,625.80 and keeps the EUR 1,300 minimum protected."
request_155,9354.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2025. Only INR 9,354.40 of the INR 112,500 is safe, and none of the available options keeps the INR 56,300 minimum protected within the next 90 days."
request_156,8262.52,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum, which it reaches on 14 April 2026."
request_157,4102734.14,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Pay IDR 23,503,000 in full on 15 April 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum, which it reaches on 14 March 2024."
